time ,PhotoD1
0.343016,0.2857852193,
0.894843,0.9312490521,
0.504160,0.7998517271,
0.562223,0.3310747360,
0.789345,0.7374195100,
0.350928,0.5674398839,
0.220180,0.0160636671,
0.822832,0.4255145549,
0.076042,0.0293784350,
0.082186,0.7841766607,
0.309716,0.9808148384,
0.855496,0.6899441927,
0.474297,0.7796853780,
0.324237,0.5979785101,
0.460044,0.2846094617,
0.674175,0.7462548171,
0.574062,0.6938742477,
0.842825,0.4425231475,
0.075822,0.4191283081,
0.259850,0.1507713754,
0.687559,0.5402920250,
0.432499,0.1963602664,
0.323726,0.7491826716,
0.046072,0.7156602475,
0.310353,0.7044970435,
0.426623,0.7362873531,
0.615572,0.6566871448,
0.243015,0.8910961469,
0.844717,0.4910795099,
0.882797,0.3417772078,
0.928256,0.9627087376,
0.562634,0.1249443210,
0.302986,0.2086122609,
0.770147,0.1549701711,
0.507220,0.8076048656,
0.612585,0.0673665742,
0.686576,0.4906031777,
0.083905,0.5984181755,
0.714108,0.3650201732,
0.298379,0.6885589111,
0.233191,0.8569071453,
0.317444,0.9006384683,
0.282018,0.9514955431,
0.250564,0.9000468240,
0.123545,0.0065369266,
0.668144,0.0419322032,
0.278391,0.8708921773,
0.247568,0.4444005817,
0.568767,0.4425405325,
0.051348,0.3305986209,
0.823166,0.9396731062,
0.036945,0.7128412623,
0.267171,0.9389070213,
0.302190,0.5309559404,
0.662305,0.0218029818,
0.625757,0.8203910812,
0.712341,0.2874960578,
0.275835,0.8673796661,
0.996085,0.8602108122,
0.300446,0.5506323685,
0.501265,0.4572384982,
0.132322,0.8500244335,
0.897560,0.3477783521,
0.237942,0.2384609983,
0.067090,0.0509378083,
0.365624,0.1349584982,
0.989006,0.5781333759,
0.212025,0.9043694338,
0.287535,0.7711663719,
0.504589,0.7041431137,
0.630568,0.4224110575,
0.393183,0.9578565545,
0.679961,0.7555892441,
0.130034,0.3660034788,
0.070238,0.5506141422,
0.045384,0.2214294443,
0.553928,0.2559447931,
0.890816,0.7352534391,
0.585794,0.3155452223,
0.531546,0.4224053052,
0.644040,0.7484419710,
0.407507,0.3530890335,
0.261375,0.4464585276,
0.609210,0.0339350721,
0.632786,0.7280144508,
0.759273,0.6213758576,
0.233894,0.1257946993,
0.288725,0.2154559231,
0.022698,0.3083772693,
0.291437,0.0309519094,
0.354083,0.2014550923,
0.649630,0.0674297896,
0.607602,0.0001522496,
0.756168,0.6364294500,
0.884364,0.8027539414,
0.895503,0.3943380657,
0.078076,0.2627358502,
0.525871,0.2838283558,
0.045145,0.7136443228,
0.796613,0.1941446885,
0.314831,0.5800804389,
0.235507,0.2474724570,
0.267438,0.9359067976,
0.142384,0.5645568274,
0.193852,0.8796090911,
0.833386,0.9926761384,
0.745104,0.9462529154,
0.743855,0.4783762836,
0.265942,0.1249942403,
0.113418,0.0641559856,
0.048981,0.3866648805,
0.276120,0.5582456913,
0.657360,0.9224292248,
0.626701,0.9343084614,
0.574108,0.8248119382,
0.200358,0.1835821251,
0.409374,0.3931080934,
0.284314,0.9127821470,
0.834083,0.5341702924,
0.757352,0.4514615988,
0.865908,0.2855965335,
0.416935,0.6227740974,
0.742514,0.1817724864,
0.069935,0.9271459284,
0.958454,0.7139736259,
0.687191,0.8323677698,
0.260030,0.4964826023,
0.735626,0.9632168854,
0.478618,0.8433142001,
0.871375,0.1138975564,
0.322553,0.9361792706,
0.561023,0.6883643445,
0.245850,0.3071117913,
0.134488,0.8606545525,
0.237612,0.9484584945,
0.363673,0.6818412285,
0.688089,0.5631951028,
0.039020,0.1499740891,
0.688734,0.9862102635,
0.260818,0.8150238600,
0.856589,0.9122199771,
0.546114,0.6839659019,
0.460499,0.3030307905,
0.152666,0.7317974188,
0.255789,0.2762103526,
0.391646,0.6152387241,
0.964607,0.2948521199,
0.519424,0.5182754705,
0.120884,0.7389237837,
0.914895,0.7440210856,
0.456607,0.4034594421,
0.904683,0.1609284209,
0.291900,0.0224009672,
0.782189,0.1058785668,
0.055907,0.9319990268,
0.213044,0.6155494563,
0.776544,0.6332840083,
0.696810,0.0066871521,
0.907883,0.2148656777,
0.608883,0.0810032254,
0.544557,0.1614648243,
0.753118,0.0918035633,
0.877259,0.1341333011,
0.893774,0.0717961755,
0.855831,0.2688473309,
0.683244,0.0400667052,
0.407614,0.7440801032,
0.047855,0.9448331358,
0.238428,0.2213605376,
0.013959,0.6005653698,
0.381700,0.4360932436,
0.907123,0.1735605497,
0.303596,0.1948939829,
0.867330,0.1891208363,
0.147173,0.9298916549,
0.309913,0.4905438018,
0.418244,0.7963244144,
0.210176,0.1847991146,
0.767455,0.2277845152,
0.242546,0.8498083733,
0.886141,0.4942870705,
0.297543,0.9857386758,
0.190678,0.1722266180,
0.724119,0.9501030636,
0.956810,0.3823350923,
0.901467,0.4476333589,
0.700584,0.3598913069,
0.813472,0.1444670118,
0.866425,0.8166389162,
0.888213,0.1817114900,
0.230451,0.8329727926,
0.626476,0.4062956430,
0.243942,0.4214508088,
0.442680,0.5332541825,
0.782786,0.4303174767,
0.715829,0.0024213074,
0.244633,0.6646594114,
0.737832,0.2567879242,
0.907812,0.5919233774,
0.842232,0.3578496217,
0.971466,0.5480536796,
0.142859,0.7806885712,
0.856912,0.5588803391,
0.762052,0.3016923387,
0.760262,0.4606148245,
0.459418,0.9209183197,
0.384084,0.8861810352,
0.107429,0.8794738146,
0.455472,0.9703430919,
0.147247,0.7523051775,
0.293592,0.0155432903,
0.380417,0.9923419200,
0.924546,0.4557631657,
0.193468,0.5204982549,
0.655051,0.0888930236,
0.394229,0.7851045780,
0.193486,0.7176938308,
0.031735,0.5454015716,
0.801822,0.7441356878,
